|||||5|||114|||64|||29
|||||7|||137|||76|||29
|||||8|||137|||80|||29
|||||9|||138|||76|||29
|||||10|||138|||80|||29
gray|||1|||140|||127|||30
gray|||2|||140|||154|||30
[|||1|||0|||22|||31
[|||2|||1|||29|||31
[|||3|||1|||34|||31
[|||4|||2|||35|||31
[|||5|||2|||40|||31
[|||6|||3|||30|||31
[|||7|||3|||35|||31
[|||8|||3|||40|||31
[|||9|||4|||38|||31
[|||10|||5|||38|||31
[|||11|||6|||42|||31
[|||12|||7|||45|||31
[|||13|||8|||25|||31
[|||14|||8|||30|||31
[|||15|||8|||35|||31
aR1|||2|||61|||51|||32
aR2|||2|||61|||58|||32
__global__|||1|||0|||0|||33
__global__|||2|||1|||0|||33
__global__|||3|||2|||0|||33
__global__|||4|||3|||0|||33
__global__|||5|||4|||0|||33
__global__|||6|||5|||0|||33
__global__|||7|||6|||0|||33
__global__|||8|||7|||0|||33
__global__|||9|||8|||0|||33
__global__|||10|||9|||0|||33
__global__|||11|||10|||0|||33
__global__|||12|||11|||0|||33
__global__|||13|||12|||0|||33
__global__|||14|||13|||0|||33
__global__|||15|||14|||0|||33
ELEMENT_INDEX|||1|||127|||46|||34
ELEMENT_INDEX|||3|||127|||89|||34
ELEMENT_INDEX|||4|||127|||93|||34
ELEMENT_INDEX|||5|||127|||107|||34
++|||1|||56|||55|||35
++|||2|||56|||69|||35
++|||3|||57|||52|||35
++|||4|||68|||60|||35
k|||8|||93|||62|||35
k|||9|||93|||66|||35
++|||5|||93|||67|||35
k|||13|||95|||76|||35
k|||14|||95|||80|||35
++|||6|||95|||81|||35
++|||9|||99|||78|||35
++|||10|||101|||64|||35
++|||11|||103|||62|||35
++|||12|||104|||88|||35
++|||13|||106|||62|||35
++|||14|||108|||64|||35
++|||15|||108|||84|||35
fbase|||1|||176|||74|||36
fbase|||2|||176|||157|||36
base|||5|||176|||194|||36
fbase|||3|||176|||205|||36
base|||6|||176|||215|||36
fbase|||4|||176|||226|||36
base|||7|||176|||269|||36
fbase|||5|||176|||280|||36
base|||8|||176|||290|||36
fbase|||6|||176|||301|||36
base|||9|||176|||344|||36
fbase|||7|||176|||355|||36
base|||10|||176|||365|||36
fbase|||8|||176|||376|||36
base|||11|||176|||413|||36
fbase|||9|||176|||424|||36
base|||12|||176|||434|||36
